"ss_presented","inhibited","ssd","rt"
1,0,350,442
1,0,350,382
1,0,350,438
1,0,350,526
1,0,350,509
1,0,350,360
1,0,350,481
1,0,350,451
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,1,350,-999
1,0,400,513
1,0,400,542
1,0,400,481
1,0,400,548
1,0,400,493
1,0,400,535
1,0,400,451
1,0,400,494
1,0,400,475
1,0,400,466
1,0,400,482
1,0,400,507
1,0,400,444
1,0,400,544
1,0,400,507
1,0,400,522
1,0,400,558
1,0,400,572
1,0,400,547
1,0,400,455
1,0,400,536
1,0,400,494
1,1,400,-999
1,1,400,-999
1,1,400,-999
1,1,400,-999
1,1,400,-999
1,0,450,487
1,0,450,515
1,0,450,416
